Pos,No.,Player 1,twitter_1,No,Player 2,twitter_2,No.1,Player 3,twitter_3,No.2,Player 4,twitter_4,No.3,Player 5,twitter_5
WR-Z,1.0,"Gray, Julian RS JR/TR",,14.0,"Austin, Kylen RS JR",,81.0,"Fortenberry, Markel RS SO",,,,,,,
WR-H,21.0,"Sibley, Treon RS SR",,6.0,"Smith, Reese RS JR/TR",,11.0,"Copeland, Darius RS FR",,,,,,,
LT,75.0,"Tucker, Jack RS JR/TR",,73.0,"Hall, Jordan RS SR/TR",,,,,,,,,,
LG,53.0,"White, Jordan RS JR/TR",,77.0,"Johnson, Andrew RS JR/TR",,,,,,,,,,
C,61.0,"Fenimore, Aaron RS FR",,51.0,"Geth, D.J. RS FR/TR",,,,,,,,,,
RG,76.0,"Flores, John Paul RS SR/TR",,55.0,"Hayes, Harrison RS JR",,,,,,,,,,
RT,63.0,"Gray, Xavior RS SR/TR",,70.0,"Anderson, Austin RS FR",,,,,,,,,,
TE,15.0,"Hanshaw, Bentley RS SR/TR",,83.0,"Henderson, Austin RS JR/TR",,84.0,"Jenkins, Jacob RS JR/TR",,,,,,,
QB,7.0,"Salter, Kaidon RS JR/TR",,18.0,"Burger, Ryan RS SO/TR",,4.0,"Bradford, Jayden FR",,,,,,,
RB-A,0.0,"Lucas, Billy SR/TR",,3.0,"Jointer Jr., James RS SO/TR",,2.0,"Venn, Victor RS SO/TR",,,,,,,
RB-B,20.0,"Cooley, Quinton RS SR/TR",,24.0,"Blue, Vaughn RS FR",,23.0,"Williams, Caden FR",,,,,,,
DEF,,,,,,,,,,,,,,,
DE,3.0,"Bush Jr., TJ SO",,49.0,"Carroll, Grey RS JR/TR",,27.0,"Williams, Brenton RS FR/TR",,,,,,,
NT,99.0,"Dixon, Bryce JR",,4.0,"Hardy, Jay RS SR/TR",,93.0,"Hall, Eli RS SO/TR",,,,,,,
DT,92.0,"Boti, Chris RS JR",,97.0,"Jarvis, Mike RS JR/TR",,94.0,"Pirolli, Nathan SO",,,,,,,
JOKER,11.0,"Bazile Jr., CJ JR",,17.0,"Jennings, Bryson RS SO/TR",,1.0,"Jones III, Larry SO",,,,,,,
MLB,25.0,"Carter, Joseph RS JR",,9.0,"Brown, Jahmar RS SR/TR",,33.0,"Vaughan, Aidan RS SO/TR",,,,,,,
WLB,6.0,"Jackson, Teylor SR/TR",,0.0,"Jolly Jr., Jerome RS SR",,30.0,"Crisp, Ethan RS FR/TR",,,,,,,
LCB,19.0,"Oliver, Alex SR/TR",,13.0,"Hill, Domnick SR/TR",,8.0,"Wiggins, Joshua RS SO/TR",,,,,,,
SS,2.0,"Griffin, Eldric RS JR/TR",,22.0,"Sweeney, Jayden RS SO",,,,,,,,,,
FS,15.0,"Green, Brylan JR",,31.0,"Bodnar, Christian RS FR",,21.0,"Bell, Marquis JR/TR",,,,,,,
RCB,26.0,"Williams, Amarian RS JR",,20.0,"Ricks Jr., Dexter RS SO",,5.0,"Hopkins, Elijah RS SO/TR",,,,,,,
STAR,16.0,"Reese, Quinton RS SR",,29.0,"Jones, A'Khori JR",,14.0,"Auguste, Elijah RS SO",,,,,,,
ST,,,,,,,,,,,,,,,
PT,37.0,"Morgan, Max RS JR",,98.0,"Karhu, Colin SR/TR",,,,,,,,,,
PK,42.0,"Brown, Nick RS JR",,98.0,"Karhu, Colin SR/TR",,85.0,"Beck, Brayden RS JR",,,,,,,
KO,37.0,"Morgan, Max RS JR",,98.0,"Karhu, Colin SR/TR",,85.0,"Beck, Brayden RS JR",,,,,,,
LS,45.0,"Wilkins, Ryan RS SR/TR",,47.0,"Manis, Ryan RS FR",,,,,,,,,,
H,37.0,"Morgan, Max RS JR",,98.0,"Karhu, Colin SR/TR",,,,,,,,,,
PR,15.0,"Green, Brylan JR",,81.0,"Fortenberry, Markel RS SO",,,,,,,,,,
KR,9.0,"Lee Jr., Donte RS SO/TR",,2.0,"Venn, Victor RS SO/TR",,5.0,"Hopkins, Elijah RS SO/TR",,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
Louisiana Tech Bulldogs,,,,,,,,,,,,,,,
WR-X,16.0,"Edwards, Tru RS SR/TR",,8.0,"Lee, Devonta RS SR/TR",,13.0,"Ahmed, Shadeed GR/TR",,2.0,"Lewis, Solo RS JR",,,,
WR-Z,6.0,"Holiday, Jimmy RS SR/TR",,15.0,"McGaughy, Jalen RS SR/TR",,17.0,"Jones, Nate SR/TR",,14.0,"Williams, Dakota SO",,,,
WR-H,18.0,"Ibrahim, Abdul-Fatai RS SR/TR",,9.0,"Jackson, Marlion RS SO",,80.0,"Latulas, Dedrick SO",,,,,,,
LT,51.0,"Keys, Daniel SR/TR",,73.0,"Bannister, Kenneth RS JR",,72.0,"Christman, Hayden RS FR",,,,,,,
LG,79.0,"Hale, Bert SR",,52.0,"Smith III, Troy RS FR",,,,,,,,,,
C,54.0,"McGill, Zarian SR/TR",,55.0,"Nelson, Landon RS JR/TR",,,,,,,,,,
RG,75.0,"Gilbert, Jerren RS SR",,66.0,"Kennedy, Ja'Marion RS FR",,,,,,,,,,
RT,78.0,"Cole, Ashanti JR/TR",,67.0,"Canis, Brett RS JR/TR",,,,,,,,,,
TE,84.0,"Finley, Eli SO",,87.0,"Locke, John RS SO/TR",,82.0,"Tipton, Hunter SO/TR",,83.0,"Rucker, Kendrick RS SO",,44.0,"Franta, Collin RS FR",
QB,10.0,"Turner, Jack RS JR/TR",,7.0,"Bullock, Evan RS FR",,5.0,"Baker, Blake RS FR",,19.0,"Welch, Mason SO/TR",,,,
RB,3.0,"Crosby, Marquis RS JR",,4.0,"Davenport, Donerio SR/TR",,22.0,"Wiggins, Omiri SO/TR",,25.0,"Givens, Amani JR/TR",,,,
DEF,,,,,,,,,,,,,,,
LDE,20.0,"Burnett, J'Dan RS JR",,2.0,"Evans, Jessie SR/TR",,18.0,"Durham-Campbell, Ezekiel JR/TR",,40.0,"Okeke, Obinna RS FR",,,,
NT,96.0,"Nason, Zion SR/TR",,95.0,"Vivians, Trevell JR/TR",,48.0,"Bush, Kells RS SO/TR",,97.0,"Davis, Christian RS FR/TR",,,,
DT,90.0,"Blay, David RS JR/TR",,92.0,"Lamar, Adam JR/TR",,93.0,"Bradford, Jacob FR",,,,,,,
RDE,88.0,"Clark, Mykol GR",,7.0,"Gray, Jayden RS JR/TR",,41.0,"Pugh, Malcolm RS FR/TR",,91.0,"Robinson, Charlie RS FR",,,,
WLB,10.0,"Fields, Kolbe RS JR/TR",,37.0,"Harris, CJ RS SR/TR",,13.0,"Jones, Jamarcus RS JR/TR",,25.0,"Deckard, Colton RS FR",,,,
MLB,21.0,"Zimos, Zach RS SR/TR",,42.0,"Leota, Sifa RS JR/TR",,9.0,"Mason, Mekhi RS SO/TR",,,,,,,
LCB,4.0,"Shelby Jr., Jhamal RS SO",,27.0,"Archie, Armauni GR/TR",,24.0,"Myles, Jordon JR/TR",,,,,,,
SS,0.0,"Thompson, Blake RS SO/TR",,3.0,"Mcelvane, Isaiah RS SR/TR",,19.0,"Roberson, Roderick RS SR/TR",,14.0,"Hill, Cam RS FR",,,,
FS,5.0,"Richard, Michael SO",,1.0,"Morgan, Jordyn RS JR/TR",,34.0,"Foster, Jakari JR/TR",,6.0,"Blake, BJ JR/TR",,,,
RCB,11.0,"Woods, Cedric RS SR",,22.0,"Turner, Qua'veon RS JR/TR",,36.0,"Benson, Navarion JR/TR",,,,,,,
NB,8.0,"Griffin-Taylor, Demarcus RS SR/TR",,31.0,"Cage, Pig RS SR/TR",,,,,,,,,,
ST,,,,,,,,,,,,,,,
PT,32.0,"Rea, Patrick RS SO",,45.0,"Leavitt, Randy JR/TR",,48.0,"Hoyet Chance, John FR",,,,,,,
PK,15.0,"Buchanan, Buck JR",,43.0,"Henderson, Drew RS FR",,37.0,"Smith, Logan RS FR",,,,,,,
KO,15.0,"Buchanan, Buck JR",,43.0,"Henderson, Drew RS FR",,37.0,"Smith, Logan RS FR",,,,,,,
LS,50.0,"Pugh, Gabe RS SR/TR",,41.0,"Burch, Ean RS JR",,59.0,"Riggs, Jake FR",,,,,,,
H,32.0,"Rea, Patrick RS SO",,45.0,"Leavitt, Randy JR/TR",,48.0,"Hoyet Chance, John FR",,,,,,,
PR,80.0,"Latulas, Dedrick SO",,,,,,,,,,,,,
KR,8.0,"Griffin-Taylor, Demarcus RS SR/TR",,80.0,"Latulas, Dedrick SO",,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
Middle Tennessee Blue Raiders,,,,,,,,,,,,,,,
WR-X,1.0,"Kelly, Omari JR/TR",,13.0,"Sherman, Javonte RS JR",,18.0,"Crite, Ethan RS FR",,27.0,"Dochnahl, Caleb JR/TR",,28.0,"Kaup, Christopher FR",
WR-Z,5.0,"Butler, Myles RS JR/TR",,17.0,"Carter, Gamarion RS JR/TR",,15.0,"Evans, Josh FR",,7.0,"Driggers, Sam RS FR",,,,
WR-SL,19.0,"Stewart, Kellen RS JR/TR",,9.0,"Sutton, Hayes GR/TR",,86.0,"Lacy, Cam'ron RS FR",,84.0,"Resper, Tyson RS SO/TR",,87.0,"Ealey, Elijah RS JR/TR",
LT,72.0,"Scott, Morgan RS SR/TR",,75.0,"Knox, Dumela JR/TR",,77.0,"Robinson, Jaylen RS SO/TR",,,,,,,
LG,74.0,"Ellis, Ethan RS SR/TR",,55.0,"Guevara, Mateo RS SO",,,,,,,,,,
C,65.0,"Pierce, Julius RS SR/TR",,62.0,"Wilson, Simon RS JR/TR",,,,,,,,,,
RG,71.0,"Adams, Ellis RS SR/TR",,70.0,"Rue, Isaac RS FR",,,,,,,,,,
RT,78.0,"Bodiford, J'Shun RS SR/TR",,76.0,"Crawford, Shamar RS SO/TR",,73.0,"Miller, Marcus RS JR/TR",,,,,,,
TE,83.0,"Willis, Holden RS SR/TR",,80.0,"Hoerstkamp, Ryan GR/TR",,88.0,"Coleman, Jacob RS JR/TR",,82.0,"Sudderth, Taharin RS JR",,85.0,"Benke, Brody FR",
QB,11.0,"Vattiato, Nicholas RS JR",,12.0,"Williams, Xavier GR/TR",,10.0,"Richesson, Luther SO/TR",,16.0,"Gagliano, Roman FR",,18.0,"Frost, Stone RS SR",
RB,3.0,"Peasant, Frank RS SR",,22.0,"Credle, Jaiden JR/TR",,0.0,"Brewton, Brian RS SR/TR",,32.0,"Middlebrook, Jekail RS FR",,4.0,"Wilkins, Terry RS SR",
DEF,,,,,,,,,,,,,,,
DE,49.0,"Stewart, James RS JR/TR",,40.0,"Bynum, Anthony RS FR",,99.0,"Williams, Alex GR/TR",,47.0,"Robinson, Tiyyan FR",,93.0,"Butts, Aidan FR",
NT,96.0,"Gillespie, James RS JR/TR",,91.0,"Hixon, Felix RS SO/TR",,98.0,"Woods, Shakai RS FR",,,,,,,
DT,92.0,"Smith, Damonte RS JR",,94.0,"Merrihew, Ayden JR/TR",,90.0,"Smith, Chayce RS FR",,45.0,"Morris, Ja'Darious RS FR",,,,
EDGE,89.0,"Buckner, Brandon RS JR/TR",,44.0,"Nwaoko, Andy RS SR/TR",,46.0,"Johnson, Reggie JR/TR",,34.0,"Burley, Kedrick FR",,35.0,"Simpson-Smith, Zeion FR",
WLB,9.0,"Hughes, Parker RS JR",,54.0,"Forsha, Nolan JR/TR",,56.0,"Lowe, Jayson RS FR/TR",,33.0,"Love, Malik FR",,,,
MLB,8.0,"Curtis, Devyn RS SR",,38.0,"Harden, ZaBrien RS JR",,50.0,"Carney, Elijah RS FR/TR",,58.0,"Smith, Korey FR",,,,
SLB,10.0,"Francis, Drew RS SR",,12.0,"Davis, Jalen RS SR",,30.0,"Reid, Caleb FR",,51.0,"Bailey, Amarrien FR",,,,
LCB,29.0,"Raby, Tyrell RS JR/TR",,21.0,"Muhammad, Abdul JR/TR",,37.0,"Shellman IV, James RS SR",,25.0,"Lowe, Jackson FR",,,,
SS,7.0,"Harris, Brendon RS SR/TR",,22.0,"Johnson, Chris RS JR",,26.0,"Douglas, Jared JR/TR",,28.0,"Elder, Da'Shawn RS JR/TR",,,,
FS,6.0,"Myers, Marvae RS SR",,31.0,"Howse IV, John RS JR/TR",,27.0,"Smith, Rickey RS JR/TR",,39.0,"Beasley, Jordan FR",,,,
RCB,2.0,"McDonald, De'Arre RS SR/TR",,23.0,"Jackson, Jalen RS SR",,41.0,"Brooks, Bobby RS JR/TR",,,,,,,
NB,4.0,"Monds III, James RS SO/TR",,24.0,"Ferrell, Trevon RS SO",,,,,,,,,,
ST,,,,,,,,,,,,,,,
PT,99.0,"Turk, Trey SR/TR",,97.0,"Chadwick, Grant FR",,96.0,"Taylor, Jacob FR",,,,,,,
PK,7.0,"Rankin, Zeke RS SR",,35.0,"Benedict, Zach RS SO/TR",,,,,,,,,,
KO,35.0,"Benedict, Zach RS SO/TR",,7.0,"Rankin, Zeke RS SR",,,,,,,,,,
LS,69.0,"Butler, Brody RS SR",,54.0,"Dougherty, Connor RS SO",,67.0,"Hamlin, Henry FR",,,,,,,
H,81.0,"Howell, Mitchell RS SR/TR",,99.0,"Turk, Trey SR/TR",,,,,,,,,,
PR,19.0,"Stewart, Kellen RS JR/TR",,,,,,,,,,,,,
KR,0.0,"Brewton, Brian RS SR/TR",,19.0,"Stewart, Kellen RS JR/TR",,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
New Mexico State Aggies,,,,,,,,,,,,,,,
WR-X,5.0,"Faupel, Donovan SO",,7.0,"Neville, Latrell RS JR/TR",,81.0,"Ortiz, Allen RS JR/TR",,,,,,,
WR-Z,11.0,"David, Kordell RS SR/TR",,3.0,"Lowe, Jahrique JR/TR",,,,,,,,,,
WR-H,12.0,"Smith, Jordan SR/TR",,82.0,"McNamara, Kyle RS SR/TR",,0.0,"Johnson III, PJ RS JR",,,,,,,
LT,71.0,"Pete, Shiyazh RS JR",,72.0,"Rodriquez, Jai RS SO",,,,,,,,,,
LG,51.0,"Vaipulu, AJ JR",,55.0,"Jackson, Shamarr RS JR/TR",,,,,,,,,,
C,56.0,"Yarro, Canaan RS SR/TR",,50.0,"Sheehan, Cooper RS SO",,,,,,,,,,
RG,77.0,"Golden, Jacob RS SR/TR",,65.0,"LaFrance, Anthony RS SR/TR",,,,,,,,,,
RT,78.0,"Claiborne, Cedric RS SR/TR",,66.0,"Canepa, Louie RS SO",,,,,,,,,,
TE,88.0,"Stephens, Trevor JR",,14.0,"Talley, Hunter RS SO/TR",,19.0,"Wood, Ethan SO/TR",,49.0,"Armijo, Noah SR/TR",,,,
QB,2.0,"Hogan, Deuce RS SR/TR",,18.0,"Marucci, Santino RS JR/TR",,15.0,"Awad, Parker SO/TR",,10.0,"Nunez, Brandon JR/TR",,13.0,"McNamara, Jake RS SO/TR",
RB,8.0,"Watkins, Monte RS JR/TR",,1.0,"McGowan, Seth JR/TR",,4.0,"Washington, Mike RS JR/TR",,20.0,"Gans, Tim RS JR",,16.0,"McMillan, Larenzo RS JR",
DEF,,,,,,,,,,,,,,,
DE,28.0,"Robinson, Jaden RS SO",,9.0,"Edwards, Kale RS SR/TR",,97.0,"Davis III, Henry SO/TR",,98.0,"Ta'ase, Malaki FR",,,,
NT,6.0,"Fahina, Naki RS SR/TR",,54.0,"Tuitama, Ta'Avili JR/TR",,96.0,"Schnettgoecke, Cole SR/TR",,,,,,,
DT,90.0,"Lawson, Matt RS SR/TR",,4.0,"Beadles, Justin RS JR/TR",,95.0,"Jones, Gabe RS FR",,,,,,,
STUD,8.0,"Peleti, Buddha JR",,42.0,"Arinze, Noah RS JR/TR",,40.0,"Burns, Derek JR/TR",,,,,,,
MLB,14.0,"Aupiu, Sone RS SO",,13.0,"Davis, Quincy RS FR",,57.0,"Jackson, Bryant GR",,,,,,,
WLB,47.0,"Brown, Jalen RS FR",,35.0,"Martinez, Tyler RS JR/TR",,15.0,"Perry, Rontravious RS JR/TR",,25.0,"Heil, Jaxon JR",,,,
LCB,7.0,"Glinton, Keonte RS SR/TR",,1.0,"Charles, Josiah RS FR",,26.0,"Campbell, Jakobe FR",,,,,,,
SS,2.0,"Crosby, Da'Marcus SR/TR",,18.0,"Hatfield-Rushton, Desmin SO/TR",,10.0,"Moorer, DaMarco RS JR/TR",,,,,,,
FS,11.0,"Early, Dylan SR",,0.0,"Cox, Josiah SO/TR",,22.0,"Kelley Jr., Lanar JR/TR",,,,,,,
RCB,24.0,"Hobbs, Dakerric SR/TR",,19.0,"White, Jabril RS JR/TR",,29.0,"McKinley, Rashad RS SO",,,,,,,
NB,5.0,"Session, Nick RS SR/TR",,3.0,"Barnes, Tayden RS FR",,36.0,"Muñoz, Angel RS FR",,,,,,,
ST,,,,,,,,,,,,,,,
PT,92.0,"Eberle, George GR/TR",,93.0,"Dean, Max FR",,94.0,"Theisler, Nikalas FR",,,,,,,
PK,43.0,"Brooksby, Connor SR/TR",,89.0,"Montano, Abraham RS SR/TR",,97.0,"Zilmer, Carson RS JR",,35.0,"Joya, Freddy RS FR",,,,
KO,43.0,"Brooksby, Connor SR/TR",,89.0,"Montano, Abraham RS SR/TR",,97.0,"Zilmer, Carson RS JR",,35.0,"Joya, Freddy RS FR",,,,
LS,91.0,"Eberle, Charlie SR/TR",,43.0,"Dublin, John FR",,,,,,,,,,
H,92.0,"Eberle, George GR/TR",,93.0,"Dean, Max FR",,94.0,"Theisler, Nikalas FR",,,,,,,
PR,12.0,"Smith, Jordan SR/TR",,,,,,,,,,,,,
KR,25.0,"Heil, Jaxon JR",,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
Sam Houston Bearkats,,,,,,,,,,,,,,,
WR-X,2.0,"Adeyi, Ife RS SR",,14.0,"Rockwell, Jyzaiah RS SO",,4.0,"Phoenix II, Michael RS JR/TR",,17.0,"Adkism, Lonnie RS FR",,,,
WR-Z,11.0,"Phillips, Malik SR/TR",,7.0,"Humphreys, Qua'Vez RS JR/TR",,15.0,"Johnson, Shane RS JR",,,,,,,
WR-SL,6.0,"Smith, Noah RS SR",,3.0,"Evans, Simeon RS JR/TR",,84.0,"Taylor, Kaden RS SO/TR",,,,,,,
LT,59.0,"Jackson-Smith, Graceson RS JR/TR",,56.0,"Eckardt, Luke RS JR/TR",,79.0,"Dieterich, Kolt RS FR",,,,,,,
LG,73.0,"Beall, MarKendrick SR/TR",,75.0,"McCollum, William SR/TR",,,,,,,,,,
C,57.0,"Hagler, Ethan RS SR/TR",,69.0,"Kohlscheen, Seth RS SR",,,,,,,,,,
RG,71.0,"Dawn II, James JR",,52.0,"Hutchens, Will RS FR",,,,,,,,,,
RT,78.0,"Irving, Orion RS SO",,70.0,"Larson, Rhett RS SO/TR",,,,,,,,,,
TE,86.0,"Jewett, Thomas RS SO",,19.0,"Sohn, Elijah RS SR/TR",,89.0,"Garza III, Fernando RS JR/TR",,12.0,"Smith, Austin RS JR/TR",,,,
QB,8.0,"Bauer, Jase RS JR/TR",,10.0,"Watson, Hunter RS JR/TR",,5.0,"Gunnell, Grant GR/TR",,15.0,"Bailey, DJ FR",,13.0,"Gomez, Sylas RS SO",
RB,9.0,"Ducker, Jay GR/TR",,1.0,"Gentry, John RS JR/TR",,0.0,"Hrbacek, Zach RS JR",,23.0,"Murdaugh, Adrian RS JR",,34.0,"Brown, Landan RS FR",
DEF,,,,,,,,,,,,,,,
DE,1.0,"Leon, Jevon RS SR",,0.0,"Murray, Chris RS JR/TR",,33.0,"DuJour, Kendrick RS SO/TR",,,,,,,
NT,99.0,"Wright, Quincy RS SO/TR",,96.0,"Aribisala, Matthew RS JR/TR",,11.0,"Warren, Denver RS JR/TR",,,,,,,
DT,97.0,"Frazier, Dylan RS SO/TR",,93.0,"Mason, Seth GR/TR",,98.0,"Patt, Quardale JR/TR",,90.0,"Outland Jr., Richard RS JR",,,,
JACK,18.0,"Nixon, Issiah SR/TR",,44.0,"Hayes, Briceon RS JR",,42.0,"Holloway, Ca'lub RS SO",,,,,,,
MLB,8.0,"Jackson, Sincere RS JR/TR",,6.0,"Fields, Trey RS JR",,45.0,"Wallace, Eli RS FR",,,,,,,
WLB,14.0,"Gaither, Kavian SR",,10.0,"Phillips, Jaylen SR",,35.0,"Tullos, Gannon RS SO",,,,,,,
LCB,2.0,"Armstead, Da'Veawn RS JR/TR",,7.0,"Allen, Emon RS JR",,15.0,"O'Neal, Jalen RS FR/TR",,,,,,,
SS,4.0,"Jimmerson, Jaylon GR/TR",,24.0,"Escobar, Elias RS SR/TR",,,,,,,,,,
FS,13.0,"Hawkins, Ny'Quee GR/TR",,22.0,"Scott, Jaidan RS SO",,,,,,,,,,
RCB,5.0,"Fisher, David RS JR",,16.0,"Swen, Joe RS SO/TR",,20.0,"Prox, Chantson SO",,,,,,,
NB,3.0,"Weaver, Caleb RS JR",,19.0,"Cash, Isaiah GR/TR",,,,,,,,,,
ST,,,,,,,,,,,,,,,
PT,43.0,"Cardell, Jadon RS JR",,49.0,"Pavon, Christian RS JR",,48.0,"Nelson, Joe FR",,,,,,,
PK,47.0,"Sessums, Colby RS JR/TR",,49.0,"Pavon, Christian RS JR",,39.0,"Neibert, Shaun FR",,,,,,,
KO,49.0,"Pavon, Christian RS JR",,47.0,"Sessums, Colby RS JR/TR",,39.0,"Neibert, Shaun FR",,,,,,,
LS,41.0,"Stricker, Zach RS JR",,46.0,"Whitington, Carson RS SO/TR",,,,,,,,,,
H,43.0,"Cardell, Jadon RS JR",,49.0,"Pavon, Christian RS JR",,48.0,"Nelson, Joe FR",,,,,,,
PR,7.0,"Allen, Emon RS JR",,6.0,"Smith, Noah RS SR",,,,,,,,,,
KR,11.0,"Phillips, Malik SR/TR",,0.0,"Hrbacek, Zach RS JR",,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
UTEP Miners,,,,,,,,,,,,,,,
WR-X,1.0,"Goodman, Trey SR/TR",,12.0,"Gardere, Javoni RS SO/TR",,10.0,"Hurley, Kevin RS SR/TR",,,,,,,
WR-Z,8.0,"White, Emari RS JR/TR",,0.0,"Nickelberry, Ashton RS JR/TR",,88.0,"Seib, Luke RS SO",,,,,,,
WR-Y,3.0,"Smith, Jaden SR/TR",,6.0,"Odom, Kenny RS SO/TR",,27.0,"McWhorter, Miles RS SO/TR",,,,,,,
LT,65.0,"Wright, Isaiah SR/TR",,58.0,"Toney, Jaquan RS JR/TR",,52.0,"Whitehead, RJ JR/TR",,,,,,,
LG,60.0,"Immediato, Joseph RS JR",,70.0,"Matamoros, Luka FR",,,,,,,,,,
C,53.0,"Escobar, Ivan RS JR/TR",,62.0,"Riggs, Jake FR",,,,,,,,,,
RG,59.0,"Pitts III, Otis RS SR/TR",,57.0,"Wydra, Craig FR",,,,,,,,,,
RT,50.0,"Smith, Brennan RS JR/TR",,74.0,"Henry, Azizi RS JR",,,,,,,,,,
TE,17.0,"Ezinwa, Judah RS SO/TR",,82.0,"Vinson, Marcus JR/TR",,43.0,"Lopez, Julian RS SR",,87.0,"Collins, Martavious FR",,35.0,"Essih, Zachary RS SO",
QB,11.0,"McConnell, Cade RS JR/TR",,9.0,"Locklear, Skyler RS SO/TR",,7.0,"Smith, Shay FR",,19.0,"Pickles, JP FR",,16.0,"Southern, Michael FR",
RB,4.0,"Jackson, Jevon RS JR/TR",,22.0,"Jolly, Ezell RS FR",,20.0,"Triche, Daryon RS SO/TR",,21.0,"Taylor, Marquez RS FR/TR",,25.0,"Emory, Ashten FR",
MB,5.0,"Thomas, Kam RS JR/TR",,15.0,"Wren, Corey SR/TR",,,,,,,,,,
DEF,,,,,,,,,,,,,,,
DE,15.0,"Thompson, Bryton RS SR/TR",,32.0,"Goree, Devin SR/TR",,36.0,"Taylor, Ekow FR",,,,,,,
NT,99.0,"Tonga'uiha, Sione SR",,7.0,"Johnson, KD SR/TR",,92.0,"Warren, Quinzavious RS JR/TR",,,,,,,
DT,50.0,"Tafuna, Tevita RS SR/TR",,98.0,"Va'a, Logologo RS SO",,90.0,"Coker, Ashton FR",,,,,,,
BAN,0.0,"Westmoreland, Maurice SR/TR",,40.0,"Bibler, Chase SR/TR",,10.0,"Rapolla, Hunter SR/TR",,,,,,,
MLB,41.0,"Hopkins, Dorian GR/TR",,44.0,"Rayam, Jalen GR/TR",,30.0,"Dyman, Nate RS JR/TR",,,,,,,
WLB,5.0,"Dunson, Tray SR/TR",,29.0,"Brown-Turner, Dylan RS FR/TR",,42.0,"Hall, Jake SR/TR",,,,,,,
SPUR,22.0,"Allen, Josiah SR/TR",,4.0,"Williams, Dillion RS JR/TR",,28.0,"Jones, Brandon FR",,13.0,"Hunter, Jayce SR/TR",,,,
LCB,14.0,"Boyd-Matthews, Amier RS SO",,9.0,"Shelton, Jaylon RS JR/TR",,18.0,"Burris III, John RS JR",,,,,,,
SS,11.0,"Moore, Oscar SR/TR",,26.0,"Russell, Lantz RS JR/TR",,19.0,"Hullaby, Landon RS SO/TR",,,,,,,
FS,6.0,"Chapman, Kory SR/TR",,2.0,"Smith, Xavier RS SO/TR",,8.0,"Ray Jr., Michael JR/TR",,,,,,,
RCB,1.0,"Odums, AJ SR/TR",,16.0,"Green, Yessman SR/TR",,20.0,"Herring, Kam FR",,,,,,,
ST,,,,,,,,,,,,,,,
PT,29.0,"Jacklin, Adam RS FR/TR",,36.0,"Flabiano, Buzz RS SO",,,,,,,,,,
PK,36.0,"Flabiano, Buzz RS SO",,30.0,"Webb, Aiden FR",,97.0,"Bowman, Joe RS JR/TR",,38.0,"Scruggs, Evan FR",,,,
KO,36.0,"Flabiano, Buzz RS SO",,30.0,"Webb, Aiden FR",,97.0,"Bowman, Joe RS JR/TR",,38.0,"Scruggs, Evan FR",,,,
LS,37.0,"Tejada, Angelo SR",,39.0,"Hancock, Josh RS JR",,,,,,,,,,
H,37.0,"Tejada, Angelo SR",,,,,,,,,,,,,
PR,5.0,"Thomas, Kam RS JR/TR",,,,,,,,,,,,,
KR,5.0,"Thomas, Kam RS JR/TR",,26.0,"Harris, Caden RS FR",,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
Western Kentucky Hilltoppers,,,,,,,,,,,,,,,
WR-X,17.0,"Smith, Dalvin RS SR",,18.0,"Barry, Moussa RS SO/TR",,22.0,"Brown, Justin RS FR/TR",,,,,,,
WR-Z,13.0,"Johnson, Kisean SR/TR",,6.0,"Starling, Demick RS JR/TR",,82.0,"Alleyne, Denzil SR/TR",,,,,,,
WR-SL,4.0,"Mathison, Michael GR/TR",,15.0,"Hutchinson, K.D. RS SO",,,,,,,,,,
WR-SL,8.0,"Messer, Easton RS SO",,19.0,"Childress, Bryce RS SR/TR",,21.0,"Sims, Marvin RS SO/TR",,,,,,,
LT,53.0,"Jackson, Marshall RS JR",,71.0,"Wilkins, Stacey RS SR/TR",,70.0,"Johnson Jr., Darrell RS JR/TR",,,,,,,
LG,78.0,"Leslie, Quantavious SR",,65.0,"Newsom Jr., Rodney RS SO/TR",,,,,,,,,,
C,58.0,"Wibberley, Evan RS SO",,72.0,"Cable, Colten RS SR/TR",,67.0,"Todd, Hayden RS SO",,,,,,,
RG,50.0,"Horton, Wesley RS JR",,79.0,"Austin, Blake RS SR/TR",,62.0,"Moment, Michael SR/TR",,,,,,,
RT,74.0,"Ondelacy, Michael RS SR/TR",,73.0,"Taylor, Travon RS SR/TR",,,,,,,,,,
TE,87.0,"Helms, River RS JR",,86.0,"Borland, Trevor SR/TR",,89.0,"Kiss, C.J. RS JR/TR",,84.0,"Fofanah, Elvin RS SR/TR",,81.0,"Meyers, Noah RS FR",
